ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
402,Arthur Abele,M,22,184,85,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
402,Arthur Abele,M,30,184,85,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
505,"Alexander ""Alex"" Abraham (Steglitz)",M,25,186,84,Germany,GER,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,NA
787,Edward Adamczyk,M,26,190,83,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,NA
808,"Robert ""Bob"" Adams",M,27,NA,NA,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Decathlon,NA
888,Jangy McKinley Addy,M,23,188,88,Liberia,LBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
888,Jangy McKinley Addy,M,27,188,88,Liberia,LBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
1069,Nikolay Konstantinovich Afanasyev,M,30,187,80,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
2045,Ibrahim Nasser Al-Matrooshi,M,22,178,61,United Arab Emirates,UAE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,NA
3073,Alfrds Karls Alslbens,M,19,NA,NA,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,NA
3360,Klaus Ambrosch,M,27,187,85,Austria,AUT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
3851,Otto Kenneth Anderson,M,23,175,68,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Decathlon,NA
3883,Albert Per Andersson,M,26,NA,NA,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,NA
3910,Erik Peter Andersson,M,26,NA,NA,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,NA
4024,Atanas Vasilev Andonov,M,25,190,95,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,NA
4059,"Georges Ivan ""Go"" Andr (Monnard-)",M,22,188,85,France,FRA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,NA
4115,Georgios Andreou,M,26,189,76,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
4171,Leonid Vladimirovich Andreyev,M,32,198,93,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
4172,Pavel Vladimirovich Andreyev,M,25,196,94,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,NA
4172,Pavel Vladimirovich Andreyev,M,29,196,94,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
4224,"Dimitrios ""James"" Andromedas",M,NA,NA,NA,Greece,GRE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Decathlon,NA
4366,Mrio Ramos Dias Sampaio Anbal,M,28,187,89,Portugal,POR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
4630,Charlemagne Anyamah,M,30,182,83,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,NA
4673,Oleksandr Valentynovych Apaichev,M,26,187,90,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,NA
4866,Luiz Alberto Cardoso de Arajo,M,25,188,88,Brazil,BRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
4866,Luiz Alberto Cardoso de Arajo,M,29,188,88,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
5120,douard B. Armand,M,NA,NA,NA,Haiti,HAI,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Decathlon,NA
5383,Rifat Rimatovich Artikov,M,29,195,92,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
5991,Rein Aun,M,24,189,88,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,Silver
5991,Rein Aun,M,28,189,88,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,NA
6050,Bastien Auzeil,M,26,195,89,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
6101,Nikolay Sergeyevich Averyanov,M,24,183,80,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,NA
6123,Mykola Viktorovych Avilov,M,20,191,89,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,NA
6123,Mykola Viktorovych Avilov,M,24,191,89,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,Gold
6123,Mykola Viktorovych Avilov,M,27,191,89,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,Bronze
6165,Daniel James Awde,M,20,182,75,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
6165,Daniel James Awde,M,24,182,75,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
6304,Hrcules Azcune,M,19,NA,NA,Uruguay,URU,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,NA
6440,"Henry Stoddard ""Harry"" Babcock",M,21,188,75,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,NA
6628,Pter Bcsalmsi (Skribanek-),M,23,188,84,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,NA
6628,Pter Bcsalmsi (Skribanek-),M,27,188,84,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Decathlon,NA
6989,Jzsef Bakai,M,30,184,85,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,NA
7137,Eugenio Balanqu Llpiz,M,27,193,91,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
7137,Eugenio Balanqu Llpiz,M,31,193,91,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
7564,"Jeffrey Granville ""Jeff"" Bannister",M,26,191,93,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,NA
8049,Romain Barras,M,24,194,86,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,NA
8049,Romain Barras,M,28,194,86,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
8143,Gonzalo Barroilhet Costabal,M,21,194,94,Chile,CHI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
8143,Gonzalo Barroilhet Costabal,M,25,194,94,Chile,CHI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
8251,Hugo Barth,M,24,176,78,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,NA
8820,"James Aloysius Bernard ""Jim"" Bausch",M,26,188,95,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold
9249,Bjrn Runald Beckman,M,25,181,79,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,NA
9416,Pascal Behrenbruch,M,27,196,94,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,NA
9956,"Stylianos ""Stelios"" Benardis",M,NA,NA,NA,Greece,GRE,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Decathlon,NA
9956,"Stylianos ""Stelios"" Benardis",M,NA,NA,NA,Greece,GRE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,NA
9998,Kurt Bendlin,M,25,178,91,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,Bronze
10043,Francisco Javier Benet Martn,M,24,186,81,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,NA
10043,Francisco Javier Benet Martn,M,28,186,81,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
10043,Francisco Javier Benet Martn,M,32,186,81,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
10170,"Jefferson Taft ""Jeff"" Bennett",M,23,173,69,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,NA
10628,"Bernard Ernst ""Barney"" Berlinger",M,20,186,91,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,NA
10681,Claston Bernard,M,21,193,90,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
10681,Claston Bernard,M,25,193,90,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,NA
10778,Hctor Berra,M,22,182,83,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,NA
10879,Massimo Bertocchi,M,22,196,93,Canada,CAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
11122,"Karl Olof Alfred ""Olle"" Bexell",M,27,190,84,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Decathlon,NA
11139,Horst Beyer,M,24,196,95,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,NA
11139,Horst Beyer,M,32,196,95,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,NA
11340,Ferdinand Reinhardt Bie,M,24,174,72,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,NA
