ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1057,Sara Aerts,F,28,182,64,Belgium,BEL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
1242,Evelis Jazmin Aguilar Torres,F,23,173,64,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
1752,Yuliya Yurivna Akulenko,F,27,173,53,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
3827,"Judith ""Jodi"" Anderson",F,26,168,57,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
5247,Helle Aro (Saadlo-),F,31,175,65,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
5839,"Anzhelika Petrovna ""Anzhela"" Atroshchenko (-Kinet)",F,21,176,58,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
5839,"Anzhelika Petrovna ""Anzhela"" Atroshchenko (-Kinet)",F,25,176,58,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
5839,"Anzhelika Petrovna ""Anzhela"" Atroshchenko (-Kinet)",F,33,176,58,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
6369,Yasmina Azzizi (-Kettab),F,34,176,67,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
6529,Gertrud Bacher (-Schpf),F,29,170,60,Italy,ITA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
7734,Eunice Barber,F,17,175,68,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
7734,Eunice Barber,F,21,175,68,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
7734,Eunice Barber,F,25,175,68,France,FRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
9074,Chantal Beaugeant,F,23,170,59,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
9074,Chantal Beaugeant,F,27,170,59,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
9348,Peggy Beer,F,22,176,66,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
9348,Peggy Beer,F,26,176,66,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
9406,Anke Behmer (Vater-),F,27,174,62,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,Bronze
9788,Irina Nikolayevna Belova (Ilyichova-),F,24,175,62,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,Silver
11827,Soma Biswas,F,22,173,63,India,IND,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
11827,Soma Biswas,F,26,173,63,India,IND,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
12057,Kelly L. Blair (-LaBounty),F,25,181,61,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
