,Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultsScore, ,EventScore
0,1,9126,KevinMAYER,10FEB1992,FRA,1,,"StadePierrePaulBernard,Talence(FRA)",16SEP2018,1302, ,(10.55/+0.3-7.80/+1.2-16.00-2.05-48.42/13.75/-1.1-50.54-5.45-71.90-4:36.11)
1,2,9045,AshtonEATON,21JAN1988,USA,1,,"NationalStadium,Beijing(CHN)",29AUG2015,1289, ,(10.23/-0.4-7.88/0.0-14.52-2.01-45.00/13.69/-0.2-43.34-5.20-63.63-4:17.52)
2,3,9026,RomanŠEBRLE,26NOV1974,CZE,1,,Götzis(AUT),27MAY2001,1286, ,(10.64/0.0-8.11/+1.9-15.33-2.12-47.79/13.92/-0.2-47.92-4.80-70.16-4:21.98)
3,4,9018,DamianWARNER,04NOV1989,CAN,1,,"NationalStadium,Tokyo(JPN)",05AUG2021,1285, ,(10.12/+0.2-8.24/+0.2-14.80-2.02-47.48/13.46/-1.0-48.67-4.90-63.44-4:31.08)
4,5,8994,TomášDVOŘÁK,11MAY1972,CZE,1,,Praha(CZE),04JUL1999,1281, ,(10.54/-0.1-7.90/+1.1-16.78-2.04-48.08/13.73/0.0-48.33-4.90-72.32-4:37.20)
5,6,8891,DanO'BRIEN,18JUL1966,USA,1,,Talence(FRA),05SEP1992,1265, ,(10.43/+2.1-8.08/+1.8-16.69-2.07-48.51/13.98/-0.5-48.56-5.00-62.58-4:42.10)
6,7,8832,BryanCLAY,03JAN1980,USA,1,,"Eugene,OR(USA)",30JUN2008,1256, ,(10.39/-0.4-7.39/-1.6-15.17-2.08-48.41/13.75/+1.9-52.74-5.00-70.55-4:50.97)
7,8,8815,ErkiNOOL,25JUN1970,EST,2,,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1253, ,(10.60/+1.5-7.63/+2.0-14.90-2.03-46.23/14.40/0.0-43.40-5.40-67.01-4:29.58)
8,9,8811,DaleyTHOMPSON,30JUL1958,GBR,1,,"Neckarstadion,Stuttgart(GER)",28AUG1986,1252, ,(10.26/+2.0-7.72/+1.0-15.73-2.00-47.02/14.04/-0.3-43.38-5.10-62.78-4:26.16)
9,10,8790,TreyHARDEE,07FEB1984,USA,1,,"Olympiastadion,Berlin(GER)",20AUG2009,1249, ,(10.45/+0.2-7.83/+1.9-15.33-1.99-48.13/13.86/+0.3-48.08-5.20-68.00-4:48.91)
10,11,8784,TomPAPPAS,06SEP1976,USA,1,,"PaloAlto,CA(USA)",22JUN2003,1248, ,(10.78/+0.2-7.96/+1.4-16.28-2.17-48.22/14.13/+1.7-45.84-5.20-60.77-4:48.12)
11,12,8735,EduardHÄMÄLÄINEN,21JAN1969,BLR,1,,Götzis(AUT),29MAY1994,1240, ,(10.50/+2.1-7.26/+1.0-16.05-2.11-47.63/13.82/-3.0-49.70-4.90-60.32-4:35.09)
12,13,8730,JürgenHINGSEN,15APR1958,FRG,2,,"Neckarstadion,Stuttgart(GER)",28AUG1986,1240, ,(10.87/+2.5-7.89/+2.8-16.46-2.12-48.79/14.52/-0.3-48.42-4.60-64.38-4:21.61)
